feature,mi_score
ATSC0s,0.23130936062246343
AATS6s,0.22940374259385576
MDEC-23,0.2267824186973173
EState_VSA8,0.22418574110408906
ATSC0dv,0.22246449236792287
BCUTZ-1h,0.22188015691674323
AATS4Z,0.22164827594084713
ATSC4s,0.22152448138397185
AATSC4Z,0.22139798355219886
ATS4dv,0.22137643164838838
ATSC7c,0.22060934211977434
AATS6d,0.21870076937766925
MATS6se,0.2177069630311017
AATS5se,0.21612113934462274
AATS3d,0.21226861314136292
GATS5c,0.212189825823625
AATS8s,0.21042567853318994
AXp-7dv,0.21037620774683008
ATSC1s,0.20939675660419166
ATSC8dv,0.2084710655154507
Kier2,0.20772493540305703
GATS2s,0.20689977430625772
ATS5s,0.20679244190461565
Xp-7dv,0.20636585569830945
GATS3d,0.20543616239133522
AATSC2d,0.2050146159443793
ATSC4Z,0.20489911979994835
ATSC4dv,0.20450655961051378
ATS7d,0.20267066256399602
IC2,0.2018691523187326
AATSC3p,0.20141758107693875
GATS1s,0.19739163415142702
EState_VSA7,0.1928108972952387
TopoPSA(NO),0.1926492783953737
ATSC4d,0.19051340597623723
AATS6i,0.18867002388571885
BCUTc-1l,0.1881993251346472
AATSC6se,0.18799121049656176
fragCpx,0.1873997953050872
AATS5dv,0.18711282112829997
AATS4se,0.1866053724527008
ATS0dv,0.1865608797214473
MAXdsCH,0.1848292870102064
ZMIC3,0.18323500632687484
ATSC1c,0.1820661582464913
AATS3Z,0.1803449972031017
AATS0v,0.1801678819032304
AATS7Z,0.17899367860170656
AATSC5pe,0.17622301730516865
MATS6c,0.17461673723248827
MIC3,0.1735514101224993
EState_VSA9,0.17097786079443855
ATSC5d,0.16985287359930146
AATSC5s,0.1691455850414516
AATSC7dv,0.16786073827996795
AATSC5dv,0.16782463329747
AXp-2d,0.16500204996984458
AATSC6s,0.16449923918676168
ATS8d,0.16289043758989363
MATS3s,0.16100009033346163
AATSC8se,0.16058765601436908
Kier3,0.15998121383661035
GATS4s,0.1594001232093203
BalabanJ,0.15917813368408185
SlogP_VSA2,0.15881597399427472
BCUTdv-1l,0.15879386013653018
GATS6c,0.15818389408204814
AXp-7d,0.15811691400207728
PEOE_VSA7,0.15747308159935125
GATS1se,0.15588073067952601
MATS4s,0.15560429757462169
AETA_eta_RL,0.15540379702863083
AATSC7c,0.1552511353313557
ATSC7s,0.155094963658847
piPC8,0.15190276856827722
ATSC1Z,0.15185909140846343
ATSC5v,0.14964014247809354
MATS1c,0.14857810164257534
GATS7s,0.148013128748413
ATS6d,0.14756431646154544
GATS8c,0.14745461533876725
ATSC7d,0.14727140529460714
AATSC0Z,0.14603277187641295
NdsCH,0.14566827634605062
GATS6d,0.14471916095640713
ATSC7Z,0.14356909929437123
AATS4d,0.14315216410121767
ATSC5dv,0.14268940743107317
GATS7Z,0.14193565835591127
ATSC6d,0.13990060958700434
MATS7se,0.1385509108517886
GATS1d,0.13846715500863516
ATSC5pe,0.13835042112377716
VE1_A,0.13751086194221562
AATSC5d,0.13638708315696135
GATS2v,0.13478243836477777
GATS7dv,0.1338469560494091
MATS8se,0.1328400242362875
AATSC8Z,0.13274148862656743
ATSC4c,0.1323159514314871
ATSC5p,0.13155794712019286
GATS2c,0.12945414113727916
AATSC7se,0.1287955426411309
ATSC3dv,0.12869111076989626
GATS3s,0.1277816293456957
